№ записи,Полное наименование нефтеперерабатывающего завода,Сокращенное наименование нефтеперерабатывающего завода,Юридический / почтовый адрес заявителя,Фактический / планируемый адрес расположения нефтеперерабатывающего завода,"Глубина переработки, % (на момент включения в реестр)",Основание и дата внесения в реестр,"Статус нефтеперерабатывающего завода (введен в эксплуатацию, строящийся, проектируемый)"
№,Full name of an oil refinery,Abbreviated name of an oil refinery,Legal / postal address of the applicant,Actual / planned address of the an oil refinery,"Depth of oil refining, % (at the time of inclusion in the register)",Foundation and date of entry in the register,"Status an oil refinery (commissioned, under construction, projected)"
1,Акционерное общество ТАНЕКО,АО ТАНЕКО,"423570, Республика Татарстан, г.Нижнекамск, а/я 97 РУПС","Республика Татарстан,      г. Нижнекамск, Промзона",48,Распоряжение Минэнерго России о внесении изменений              № 23-р от                7 августа  2015г,введен в эксплуатацию
2,Общество с ограниченной ответственностью ЛУКОЙЛ – Волгограднефтепереработка,ООО ЛУКОЙЛ-Волгограднефтепереработка,"400029, г.Волгоград,  ул.40 лет ВЛКСМ, 55","г.Волгоград, ул.40 лет ВЛКСМ, 55",85,Распоряжение Минэнерго России № 4-р от 03 мая 2011г,введен в эксплуатацию
3,Закрытое акционерное общество Антипинский нефтеперерабатывающий завод,ЗАО Антипинский НПЗ,"625047, г.Тюмень, ул.6 км.Старого Тобольского тракта 20","г.Тюмень, ул.6 км.Старого Тобольского тракта 20",62,Распоряжение Минэнерго России № 6-р от 16 мая 2011г,введен в эксплуатацию
4,Закрытое акционерное общество НефтеХимСервис,ЗАО НефтеХимСервис,"654007, г.Новокузнецк,    пр-т Пионерский, 39","Кемеровская область, Яйский район",56,Распоряжение Минэнерго России о внесении изменений              № 21-р от                5 августа 2013г,введен в эксплуатацию
5,Общество с ограниченной ответственностью Волховский нефтеперерабатывающий завод,ООО Волховнефтехим,"194044, г. Санкт – Петербург, Выборгская наб., д. 29, офис 414","Ленинградская обл., г.Волхов, ул.Шумская, д.1",55,Распоряжение Минэнерго России о внесении изменений              № 24-р от                27 сентября 2012г,введен в эксплуатацию
6,Открытое акционерное общество Газпром нефтехим Салават,ОАО Газпром нефтехим Салават,"453256, Башкортостан, г.Салават, ул.Молодогвардейцев, д.30","Башкортостан, г.Салават, ул.Молодогвардейцев, д.30",75,Распоряжение Минэнерго России № 9-р от 14 июля 2011г,введен в эксплуатацию
7,Общество с ограниченной ответственностью Енисей,ООО Енисей,"169711, Республика Коми, г.Усинск, ул. Строителей 8","Республика Коми, п.Усадор, ул.Клубная",54,Распоряжение Минэнерго России о внесении изменений              № 7-р от                4 апреля 2013г,введен в эксплуатацию
8,Общество с ограниченной ответственностью Каргапольский завод нефрасов,ООО Каргапольский завод нефрасов,"641941, Курганская обл., Каргапольский р-н, р.п. Красный Октябрь, пер. Нефтебазовский, д.1","Курганская обл., Каргапольский р-н, р.п. Красный Октябрь, пер.Нефтебазовский, д. 1",55,Распоряжение Минэнерго России № 15-р от 04 августа 2011г,введен в эксплуатацию
9,Открытое акционерное общество Славнефть-Ярославнефтеоргсинтез,ОАО Славнефть-ЯНОС,"150023, г. Ярославль, Московский пр-т, д. 130","г. Ярославль, Московский пр-т, д. 130",66,Распоряжение Минэнерго России № 18-р от 26 августа 2011г,введен в эксплуатацию
